card_id,player_feature_column,opponent_feature_column
26000000,card_26000000,opp_card_26000000
26000001,card_26000001,opp_card_26000001
26000002,card_26000002,opp_card_26000002
26000003,card_26000003,opp_card_26000003
26000004,card_26000004,opp_card_26000004
26000005,card_26000005,opp_card_26000005
26000006,card_26000006,opp_card_26000006
26000007,card_26000007,opp_card_26000007
26000008,card_26000008,opp_card_26000008
26000009,card_26000009,opp_card_26000009
26000010,card_26000010,opp_card_26000010
26000011,card_26000011,opp_card_26000011
26000012,card_26000012,opp_card_26000012
26000013,card_26000013,opp_card_26000013
26000014,card_26000014,opp_card_26000014
26000015,card_26000015,opp_card_26000015
26000016,card_26000016,opp_card_26000016
26000017,card_26000017,opp_card_26000017
26000018,card_26000018,opp_card_26000018
26000019,card_26000019,opp_card_26000019
26000020,card_26000020,opp_card_26000020
26000021,card_26000021,opp_card_26000021
26000022,card_26000022,opp_card_26000022
26000023,card_26000023,opp_card_26000023
26000024,card_26000024,opp_card_26000024
26000025,card_26000025,opp_card_26000025
26000026,card_26000026,opp_card_26000026
26000027,card_26000027,opp_card_26000027
26000028,card_26000028,opp_card_26000028
26000029,card_26000029,opp_card_26000029
26000030,card_26000030,opp_card_26000030
26000031,card_26000031,opp_card_26000031
26000032,card_26000032,opp_card_26000032
26000033,card_26000033,opp_card_26000033
26000034,card_26000034,opp_card_26000034
26000035,card_26000035,opp_card_26000035
26000036,card_26000036,opp_card_26000036
26000037,card_26000037,opp_card_26000037
26000038,card_26000038,opp_card_26000038
26000039,card_26000039,opp_card_26000039
26000040,card_26000040,opp_card_26000040
26000041,card_26000041,opp_card_26000041
26000042,card_26000042,opp_card_26000042
26000043,card_26000043,opp_card_26000043
26000044,card_26000044,opp_card_26000044
26000045,card_26000045,opp_card_26000045
26000046,card_26000046,opp_card_26000046
26000047,card_26000047,opp_card_26000047
26000048,card_26000048,opp_card_26000048
26000049,card_26000049,opp_card_26000049
26000050,card_26000050,opp_card_26000050
26000051,card_26000051,opp_card_26000051
26000052,card_26000052,opp_card_26000052
26000053,card_26000053,opp_card_26000053
26000054,card_26000054,opp_card_26000054
26000055,card_26000055,opp_card_26000055
26000056,card_26000056,opp_card_26000056
26000057,card_26000057,opp_card_26000057
26000058,card_26000058,opp_card_26000058
26000059,card_26000059,opp_card_26000059
26000060,card_26000060,opp_card_26000060
26000061,card_26000061,opp_card_26000061
26000062,card_26000062,opp_card_26000062
26000063,card_26000063,opp_card_26000063
26000064,card_26000064,opp_card_26000064
26000065,card_26000065,opp_card_26000065
26000067,card_26000067,opp_card_26000067
26000068,card_26000068,opp_card_26000068
26000069,card_26000069,opp_card_26000069
26000072,card_26000072,opp_card_26000072
26000074,card_26000074,opp_card_26000074
26000077,card_26000077,opp_card_26000077
26000080,card_26000080,opp_card_26000080
26000083,card_26000083,opp_card_26000083
26000084,card_26000084,opp_card_26000084
26000085,card_26000085,opp_card_26000085
26000087,card_26000087,opp_card_26000087
27000000,card_27000000,opp_card_27000000
27000001,card_27000001,opp_card_27000001
27000002,card_27000002,opp_card_27000002
27000003,card_27000003,opp_card_27000003
27000004,card_27000004,opp_card_27000004
27000005,card_27000005,opp_card_27000005
27000006,card_27000006,opp_card_27000006
27000007,card_27000007,opp_card_27000007
27000008,card_27000008,opp_card_27000008
27000009,card_27000009,opp_card_27000009
27000010,card_27000010,opp_card_27000010
27000012,card_27000012,opp_card_27000012
27000013,card_27000013,opp_card_27000013
28000000,card_28000000,opp_card_28000000
28000001,card_28000001,opp_card_28000001
28000002,card_28000002,opp_card_28000002
28000003,card_28000003,opp_card_28000003
28000004,card_28000004,opp_card_28000004
28000005,card_28000005,opp_card_28000005
28000006,card_28000006,opp_card_28000006
28000007,card_28000007,opp_card_28000007
28000008,card_28000008,opp_card_28000008
28000009,card_28000009,opp_card_28000009
28000010,card_28000010,opp_card_28000010
28000011,card_28000011,opp_card_28000011
28000012,card_28000012,opp_card_28000012
28000013,card_28000013,opp_card_28000013
28000014,card_28000014,opp_card_28000014
28000015,card_28000015,opp_card_28000015
28000016,card_28000016,opp_card_28000016
28000017,card_28000017,opp_card_28000017
28000018,card_28000018,opp_card_28000018
